"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"India","2022","290351","Unsaturated fluorinated derivatives of acyclic hydrocarbons; 2,3,3,3-tetrafluoropropene (HFO-1234yf), 1,3,3,3-tetrafluoropropene (HFO-1234ze) and (Z)-1,1,1,4,4,4-hexafluoro-2-butene (HFO-1336mzz)","Export","1940246.402","703370","Weight in kilograms","703370"
"India","2022","290351","Unsaturated fluorinated derivatives of acyclic hydrocarbons; 2,3,3,3-tetrafluoropropene (HFO-1234yf), 1,3,3,3-tetrafluoropropene (HFO-1234ze) and (Z)-1,1,1,4,4,4-hexafluoro-2-butene (HFO-1336mzz)","Import","510657.598","12701","Weight in kilograms","12701"
"India","2022","290359","Unsaturated fluorinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.5","Export","5447914.95","205524.794","Weight in kilograms","205524.794"
"India","2022","290359","Unsaturated fluorinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.5","Import","8679581.252","834963.917","Weight in kilograms","834963.917"
"India","2022","290361","Brominated or iodinated derivatives of acyclic hydrocarbons; methyl bromide (bromomethane)","Import","5495064.179","727149.259","Weight in kilograms","727149.259"
"India","2022","290361","Brominated or iodinated derivatives of acyclic hydrocarbons; methyl bromide (bromomethane)","Export","2317402.115","372097.232","Weight in kilograms","372097.232"
"India","2022","290362","Brominated or iodinated derivatives of acyclic hydrocarbons; ethylene dibromide (ISO) (1,2-dibromoethane)","Import","347358.05","58191.5","Weight in kilograms","58191.5"
"India","2022","290362","Brominated or iodinated derivatives of acyclic hydrocarbons; ethylene dibromide (ISO) (1,2-dibromoethane)","Export","3869797.84","532604.344","Weight in kilograms","532604.344"
"India","2022","290369","Brominated or iodinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.6","Import","29156751.954","4990505.77","Weight in kilograms","4990505.77"
"India","2022","290369","Brominated or iodinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.6","Export","11193767.32","1767040.309","Weight in kilograms","1767040.309"
"India","2022","290371","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; chlorodifluoromethane (HCFC-22)","Export","40184734.369","11189249","Weight in kilograms","11189249"
"India","2022","290371","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; chlorodifluoromethane (HCFC-22)","Import","844390.227","263852","Weight in kilograms","263852"
"India","2022","290372","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; dichlorotrifluoroethane (HCFC-123)","Export","123112.407","17585","Weight in kilograms","17585"
"India","2022","290372","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; dichlorotrifluoroethane (HCFC-123)","Import","905132.139","173376","Weight in kilograms","173376"
"India","2022","290373","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; dichlorofluoroethanes (HCFC-141, 141b)","Import","136933.562","18000","Weight in kilograms","18000"
"India","2022","290374","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; chlorodifluoroethanes HCFC-142, 142b)","Export","10565723.45","576762","Weight in kilograms","576762"
"India","2022","290375","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; dichloropentafluoropropanes (HCFC-225, 225ca, 225cb)","Export","3518750.67","418254.953","Weight in kilograms","418254.953"
"India","2022","290376","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; bromochlorodifluoromethane (Halon-1211), bromotrifluoromethane (Halon-1301), and dibromotetrafluoroethanes (Halon-2402)","Import","830956.127","11004.973","Weight in kilograms","11004.973"
