"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","2022","Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,3,3-pentafluorobutane (HFC-365mfc) and 1,1,1,2,2,3,4,5,5,5-decafluoropentane (HFC-43-10mee)","Import","1879429","229380","Weight in kilograms","229380"
"China","2022","Saturated fluorinated derivatives of acyclic hydrocarbons; n.e.c. in item no 2903.4","Import","11876930","351772.379","Weight in kilograms","351772.379"
"China","2022","Saturated fluorinated derivatives of acyclic hydrocarbons; n.e.c. in item no 2903.4","Export","27962712","2202368","Weight in kilograms","2202368"
"China","2022","Unsaturated fluorinated derivatives of acyclic hydrocarbons; 2,3,3,3-tetrafluoropropene (HFO-1234yf), 1,3,3,3-tetrafluoropropene (HFO-1234ze) and (Z)-1,1,1,4,4,4-hexafluoro-2-butene (HFO-1336mzz)","Import","15821464","507459","Weight in kilograms","507459"
"China","2022","Unsaturated fluorinated derivatives of acyclic hydrocarbons; 2,3,3,3-tetrafluoropropene (HFO-1234yf), 1,3,3,3-tetrafluoropropene (HFO-1234ze) and (Z)-1,1,1,4,4,4-hexafluoro-2-butene (HFO-1336mzz)","Export","126394399","5868146","Weight in kilograms","5868146"
"China","2022","Unsaturated fluorinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.5","Export","125297291","10285027","Weight in kilograms","10285027"
"China","2022","Unsaturated fluorinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.5","Import","73648081","393204","Weight in kilograms","393204"
"China","2022","Brominated or iodinated derivatives of acyclic hydrocarbons; methyl bromide (bromomethane)","Export","1204207","138456","Weight in kilograms","138456"
"China","2022","Brominated or iodinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.6","Export","53765884","5697835.099","Weight in kilograms","5697835.099"
"China","2022","Brominated or iodinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.6","Import","25523648","3615112.289","Weight in kilograms","3615112.289"
"China","2022","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; chlorodifluoromethane (HCFC-22)","Export","241230186","96506831","Weight in kilograms","96506831"
"China","2022","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; dichlorotrifluoroethane (HCFC-123)","Export","25971995","3832200","Weight in kilograms","3832200"
"China","2022","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; dichlorofluoroethanes (HCFC-141, 141b)","Export","20971030","7207470","Weight in kilograms","7207470"
"China","2022","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; chlorodifluoroethanes HCFC-142, 142b)","Import","17073392","2730612","Weight in kilograms","2730612"
"China","2022","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; chlorodifluoroethanes HCFC-142, 142b)","Export","51927601","2951780","Weight in kilograms","2951780"
"China","2022","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; bromochlorodifluoromethane (Halon-1211), bromotrifluoromethane (Halon-1301), and dibromotetrafluoroethanes (Halon-2402)","Export","557","36","Weight in kilograms","36"
"China","2022","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; n.e.c. in headings 290371 to 290376, perhalogenated only with fluorine and chlorine","Export","55924480","5779932.917","Weight in kilograms","5779932.917"
"China","2022","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; n.e.c. in headings 290371 to 290376, perhalogenated only with fluorine and chlorine","Import","375827","9863.943","Weight in kilograms","9863.943"
"China","2022","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; perhalogenated derivatives, other than those only with fluorine and chlorine, n.e.c. in item no. 2903.71 to 2903.76","Export","3129329","77416.526","Weight in kilograms","77416.526"
"China","2022","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; perhalogenated derivatives, other than those only with fluorine and chlorine, n.e.c. in item no. 2903.71 to 2903.76","Import","16309833","20491.003","Weight in kilograms","20491.003"
"China","2022","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; n.e.c. in item no. 2903.7","Import","1165951","90396.073","Weight in kilograms","90396.073"
"China","2022","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; n.e.c. in item no. 2903.7","Export","100819970","11920141.01","Weight in kilograms","11920141.01"
"China","2022","Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons; n.e.c. in item no. 2903.8","Export","61672142","3806019.828","Weight in kilograms","3806019.828"
"China","2022","Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons; n.e.c. in item no. 2903.8","Import","21506462","7210764.128","Weight in kilograms","7210764.128"
"China","2022","Halogenated derivatives of aromatic hydrocarbons; chlorobenzene, o-dichlorobenzene, and p-dichlorobenzene","Import","1370805","1161357.563","Weight in kilograms","1161357.563"
"China","2022","Halogenated derivatives of aromatic hydrocarbons; chlorobenzene, o-dichlorobenzene, and p-dichlorobenzene","Export","51992095","33544295.484","Weight in kilograms","33544295.484"
